Time_h,Tech_rep,Bio_rep,Donor_OD,Recipient_OD,Transconjugant_OD
1.621621622,6,1,0.085674073,0.069290349,0.059156797
1.945945946,6,1,0.109573176,0.087268778,0.079253807
2.27027027,6,1,0.131284043,0.101729114,0.105281731
2.594594595,6,1,0.139078124,0.115603697,0.124099917
2.918918919,6,1,0.141342076,0.120824713,0.13660801
3.243243243,6,1,0.144130973,0.128438379,0.144800565
3.567567568,6,1,0.147917136,0.129361213,0.144281321
3.891891892,6,1,0.147434437,0.130787056,0.150943376
4.216216216,6,1,0.152420602,0.133440648,0.153003555
4.540540541,6,1,0.156181898,0.135693666,0.155490507
4.864864865,6,1,0.158808212,0.139899456,0.15926066
5.189189189,6,1,0.162163916,0.140452169,0.159057198
5.513513514,6,1,0.161480306,0.142405182,0.16298453
5.837837838,6,1,0.163777973,0.147819533,0.165708362
6.162162162,6,1,0.165711477,0.149462072,0.168542438
6.486486486,6,1,0.167368585,0.153441913,0.173893773
6.810810811,6,1,0.1706268,0.152370787,0.174462799
7.135135135,6,1,0.170871626,0.152656841,0.179594423
7.459459459,6,1,0.173302325,0.154430589,0.182409728
7.783783784,6,1,0.174410949,0.155563386,0.185716634
8.108108108,6,1,0.177592782,0.16061849,0.188979565
8.432432432,6,1,0.181847419,0.159674647,0.188012172
8.756756757,6,1,0.181977545,0.160012833,0.193900223
9.081081081,6,1,0.184870906,0.162106218,0.196951841
9.405405405,6,1,0.185372189,0.163272631,0.201286788
9.72972973,6,1,0.189819489,0.169090047,0.204278658
10.05405405,6,1,0.193900729,0.168082483,0.204467215
10.37837838,6,1,0.190537949,0.168114967,0.208458575
10.7027027,6,1,0.194112487,0.170971965,0.212329671
11.02702703,6,1,0.19649441,0.172921947,0.215580907
11.35135135,6,1,0.201635089,0.178086523,0.221306573
11.67567568,6,1,0.205964857,0.178492626,0.220668394
12,6,1,0.207264833,0.179671032,0.227229427
12.32432432,6,1,0.210780582,0.183280729,0.231516549
12.64864865,6,1,0.211477007,0.185265271,0.234823621
12.97297297,6,1,0.216652818,0.18989754,0.240336613
13.2972973,6,1,0.217015671,0.191035611,0.239492999
13.62162162,6,1,0.220986348,0.193024927,0.247073939
13.94594595,6,1,0.226392876,0.197376644,0.252096169
14.27027027,6,1,0.230368412,0.199773566,0.256966262
14.59459459,6,1,0.23445478,0.203700857,0.261455613
14.91891892,6,1,0.241866483,0.207391897,0.262230878
15.24324324,6,1,0.245054434,0.208962811,0.269606579
15.56756757,6,1,0.243128953,0.213149718,0.273550967
15.89189189,6,1,0.247613956,0.2158696,0.277293733
16.21621622,6,1,0.252927782,0.222749507,0.282737442
16.54054054,6,1,0.260248122,0.223897552,0.284565768
16.86486486,6,1,0.266131425,0.225499213,0.291583276
17.18918919,6,1,0.270529542,0.229538706,0.295661732
